Diameter (mm),Time (month),Temperature (C),pH,Strength Retention (%)
10,3.333333333,21,12.5,106
10,0.6,21,12.5,101
10,1.233333333,21,12.5,98
10,3.066666667,21,12.5,102
10,6.1,21,12.5,97
12,0.133333333,21,12.5,99
12,0.6,21,12.5,88
12,1.233333333,21,12.5,94
12,6.1,21,12.5,89
16,0.133333333,21,12.5,101
16,0.6,21,12.5,94
16,3.066666667,21,12.5,96
16,6.1,21,12.5,91
25,0.133333333,21,12.5,98
25,0.6,21,12.5,94
25,1.233333333,21,12.5,92
25,3.066666667,21,12.5,94
25,6.1,21,12.5,92
10,0.133333333,60,12.5,103
10,0.6,60,12.5,90
10,1.233333333,60,12.5,68
10,3.066666667,60,12.5,70
10,6.1,60,12.5,62
12,0.133333333,60,12.5,99
12,0.6,60,12.5,75
12,1.233333333,60,12.5,62
12,3.066666667,60,12.5,62
12,6.1,60,12.5,52
16,0.133333333,60,12.5,97
16,0.6,60,12.5,85
16,1.233333333,60,12.5,76
16,3.066666667,60,12.5,68
16,6.1,60,12.5,60
25,0.133333333,60,12.5,97
25,0.6,60,12.5,92
25,1.233333333,60,12.5,78
25,3.066666667,60,12.5,85
25,6.1,60,12.5,72
10,0.133333333,21,8.4,102
10,0.6,21,8.4,110
10,1.233333333,21,8.4,100
10,3.066666667,21,8.4,101
10,6.1,21,8.4,101
12,0.133333333,21,8.4,102
12,0.6,21,8.4,101
12,1.233333333,21,8.4,105
12,3.066666667,21,8.4,98
12,6.1,21,8.4,89
16,0.133333333,21,8.4,97
16,0.6,21,8.4,98
16,1.233333333,21,8.4,97
16,3.066666667,21,8.4,96
16,6.1,21,8.4,91
25,0.133333333,21,8.4,100
25,0.6,21,8.4,97
25,1.233333333,21,8.4,93
25,3.066666667,21,8.4,97
25,6.1,21,8.4,95
10,0.133333333,60,8.4,107
10,0.6,60,8.4,98
10,1.233333333,60,8.4,83
10,3.066666667,60,8.4,67
10,6.1,60,8.4,60
12,0.133333333,60,8.4,95
12,0.6,60,8.4,92
12,1.233333333,60,8.4,71
12,3.066666667,60,8.4,61
12,6.1,60,8.4,55
16,0.133333333,60,8.4,98
16,0.6,60,8.4,90
16,1.233333333,60,8.4,82
16,3.066666667,60,8.4,68
16,6.1,60,8.4,58
25,0.133333333,60,8.4,92
25,0.6,60,8.4,90
25,1.233333333,60,8.4,90
25,3.066666667,60,8.4,84
25,6.1,60,8.4,75
